feature,Class,Average of Value,Year
call,0,-0.03553858399391174,2018
call,0,-0.1156424656510353,2019
call,0,-0.1363713592290878,2020
call,0,-0.09878610819578171,2021
call,0,-0.06716235727071762,2022
call,1,-0.05670253932476044,2010
call,1,0.2810311615467072,2011
call,1,-0.004768275655806065,2012
call,1,0.1451770663261414,2013
call,1,0.1311235874891281,2014
call,1,-0.06439848244190216,2015
call,1,0.0609540082514286,2016
call,1,0.03213037550449371,2017
call,1,0.06824877113103867,2018
call,1,0.1456059813499451,2019
call,1,0.0889064222574234,2020
call,1,0.08706041425466537,2021
call,1,0.05387888103723526,2022
campaign,0,-0.2272543758153915,2010
campaign,0,-0.2826268970966339,2011
campaign,0,-0.1676746308803558,2012
campaign,0,-0.2980465292930603,2013
campaign,0,-0.1852853447198868,2014
campaign,0,0.016961470246315,2015
campaign,0,-0.1156848892569542,2016
campaign,0,-0.1253038793802261,2017
campaign,0,-0.2530992925167084,2018
campaign,0,-0.1215357333421707,2019
campaign,0,0.01534344349056482,2020
campaign,0,-0.3102560937404633,2021
campaign,0,-0.4553582072257996,2022
campaign,1,0.1047304719686508,2010
campaign,1,0.4060826897621155,2011
campaign,1,0.1524623781442642,2012
campaign,1,0.2800519466400146,2013
campaign,1,0.2197496592998505,2014
campaign,1,-0.05420789122581482,2015
campaign,1,0.1545465141534805,2016
campaign,1,0.1268023401498795,2017
campaign,1,0.2585789263248444,2018
campaign,1,0.1486839056015015,2019
campaign,1,-0.006553259212523699,2020
campaign,1,0.2443185299634933,2021
campaign,1,0.370728462934494,2022
capability,0,0.3828262686729431,2010
capability,0,0.4296105802059174,2011
capability,0,0.4901912212371826,2012
capability,0,0.3450849950313568,2013
capability,0,0.08214831352233887,2014
capability,0,0.02821897156536579,2015
capability,0,0.6408258080482483,2016
capability,0,-0.0992993637919426,2017
capability,0,0.2361575365066528,2018
capability,0,-0.06744302064180374,2019
capability,0,-0.06958764791488647,2020
capability,0,-0.04180506244301796,2021
capability,0,0.1587492972612381,2022
capability,1,-0.2634778320789337,2010
capability,1,-0.8512696027755737,2011
capability,1,-0.4732408225536346,2012
capability,1,-0.2520512044429779,2013
capability,1,-0.1322053372859955,2014
capability,1,0.1867094784975052,2015
capability,1,-0.7816734313964844,2016
capability,1,0.1533880233764648,2017
capability,1,-0.3832478523254395,2018
capability,1,0.04481680318713188,2019
capability,1,0.1049687117338181,2020
capability,1,0.1527563035488129,2021
capability,1,-0.1014211848378181,2022
